product_id,product_name,quantity,snapshot_date
1,100% cocoa,5726.458220513759,2023-01-01
2,almond butter,2555.1001265875416,2023-01-01
3,almond,2911.348152004141,2023-01-01
4,apple blueberry juice blend,4025.5301622374145,2023-01-01
5,apple juice blend,2577.149325418007,2023-01-01
6,apple pineapple juice blend,4449.8967141224775,2023-01-01
7,banana,20970.46768414014,2023-01-01
8,blueberries (wild),2854.2153122380696,2023-01-01
9,butter pecan ice cream,2650.3307060548136,2023-01-01
10,califia farms almond milk,3579.3971666519546,2023-01-01
11,carrots - organic,2705.1130062190095,2023-01-01
12,cinnamon,2295.204383707366,2023-01-01
13,coconut water,3307.169095492275,2023-01-01
14,cold brew coffee,3590.359547991231,2023-01-01
15,dairy whey blend,3294.5643925699533,2023-01-01
16,dates,4948.34056746283,2023-01-01
17,diet down enhancer,2357.985922796539,2023-01-01
18,electrolyte blend,2878.4932798514733,2023-01-01
19,energy boost enhancer,2167.3374842349454,2023-01-01
20,espresso,2322.3314931369064,2023-01-01
21,fiber blend enhancer,3312.084193157125,2023-01-01
22,fitaid paleo protein enhancer,2520.892166703203,2023-01-01
23,ginger - organic,2393.713308432134,2023-01-01
24,gladiator protein chocolate,2783.8989924751672,2023-01-01
25,gladiator protein strawberry,2242.2229020519985,2023-01-01
26,gladiator protein vanilla,3599.3057670334,2023-01-01
27,greek nonfat yogurt,2976.236226199046,2023-01-01
28,gut health enhancer,2152.499652112741,2023-01-01
29,hulk blend,3149.9459436322013,2023-01-01
30,immune support enhancer,2401.187136168299,2023-01-01
31,joint health enhancer with collagen,2343.656986629758,2023-01-01
32,kale - organic,2605.443216636054,2023-01-01
33,keto protein blend,2260.1544637839434,2023-01-01
34,kiwi apple juice blend,3051.741637244112,2023-01-01
35,lean1 chocolate protein,2649.223242912311,2023-01-01
36,lean1 vanilla protein,2358.505368547905,2023-01-01
37,mangoes,3442.303057301009,2023-01-01
38,matcha green tea,2191.4400237699288,2023-01-01
39,metabolism boost enhancer,2602.729676006416,2023-01-01
40,multivitamin enhancer,2354.4632645942766,2023-01-01
41,muscle builder enhancer,2197.27596514853,2023-01-01
42,nonfat milk,4341.676790986148,2023-01-01
43,nutrient blend,2481.6317126490217,2023-01-01
44,oatmilk by califia farms,2366.0265867078265,2023-01-01
45,orange juice blend,2693.5929286006603,2023-01-01
46,papaya juice blend,5367.261983089095,2023-01-01
47,peanut butter,2785.5918239191683,2023-01-01
48,pear juice blend,2716.9388611510253,2023-01-01
49,pear passion fruit juice blend,2598.787789283589,2023-01-01
50,pineapple,4216.47601153692,2023-01-01
51,probiotic powder enhancer,2150.460758743638,2023-01-01
52,protein blend,8221.284597397329,2023-01-01
53,pumpkin - organic,2284.026030792059,2023-01-01
54,pure recharge enhancer,2395.5692477835605,2023-01-01
55,raspberries,2729.0366926856505,2023-01-01
56,spice blend,2353.1057536046987,2023-01-01
57,spinach - organic,2600.6753113627433,2023-01-01
58,stevia plant-based sweetener,4136.217732077315,2023-01-01
59,strawberries - no sugar,4937.296017760822,2023-01-01
60,strawberries - added sugar,6540.926007776646,2023-01-01
61,sunwarrior organic plant-based protein,3038.650148452999,2023-01-01
62,super grains enhancer,2359.9962026915155,2023-01-01
63,tart cherries,3036.940985740169,2023-01-01
64,turbinado,8692.352821611692,2023-01-01
65,vanilla frozen yogurt,2444.2884890089867,2023-01-01
66,whey protein,2464.0134945790805,2023-01-01
67,white grape lemon juice blend,2733.211812531416,2023-01-01
68,milk chocolate almonds,1017.2657142857147,2023-01-01
69,dark chocolate cashews,1005.2800000000003,2023-01-01
70,greek yogurt trail mix,1006.2828571428571,2023-01-01
71,good health peanut butter pretzels,1004.7314285714286,2023-01-01
72,ostrim meat sticks,1009.7571428571429,2023-01-01
73,banana chips,1009.9885714285717,2023-01-01
74,natures blend,1007.2,2023-01-01
75,lenny and larry vegan cookies,1010.4699999999998,2023-01-01
76,greek yogurt pretzels,1007.9371428571424,2023-01-01
77,cups 20 oz,4440.42285714286,2023-01-01
78,cups 32 oz,4426.8142857142875,2023-01-01
79,cups 40 oz,4508.699999999999,2023-01-01
80,straws,5375.937142857145,2023-01-01
1,100% cocoa,6024.244461315206,2022-12-31
2,almond butter,2625.513019827115,2022-12-31
3,almond,3026.4282314427282,2022-12-31
4,apple blueberry juice blend,4201.017800500588,2022-12-31
5,apple juice blend,2650.2638533273466,2022-12-31
6,apple pineapple juice blend,4727.197345893235,2022-12-31
7,banana,21726.055747340215,2022-12-31
8,blueberries (wild),2945.950528259038,2022-12-31
9,butter pecan ice cream,2706.7728949413113,2022-12-31
10,califia farms almond milk,3750.9007233952657,2022-12-31
11,carrots - organic,2748.7841210872384,2022-12-31
12,cinnamon,2307.8043837073656,2022-12-31
13,coconut water,3517.841018069338,2022-12-31
14,cold brew coffee,3778.0626692313917,2022-12-31
15,dairy whey blend,3354.7714316384095,2022-12-31
16,dates,5231.805870064342,2022-12-31
17,diet down enhancer,2357.985922796539,2022-12-31
18,electrolyte blend,2969.952895576337,2022-12-31
19,energy boost enhancer,2167.3374842349454,2022-12-31
20,espresso,2322.3314931369064,2022-12-31
21,fiber blend enhancer,3415.664380111589,2022-12-31
22,fitaid paleo protein enhancer,2581.138050603207,2022-12-31
23,ginger - organic,2397.827597211332,2022-12-31
24,gladiator protein chocolate,2877.3024273143874,2022-12-31
25,gladiator protein strawberry,2256.6763890756315,2022-12-31
26,gladiator protein vanilla,3698.9576759282977,2022-12-31
27,greek nonfat yogurt,3140.4277361113063,2022-12-31
28,gut health enhancer,2152.499652112741,2022-12-31
29,hulk blend,3176.8560632454064,2022-12-31
30,immune support enhancer,2441.7651194668924,2022-12-31
31,joint health enhancer with collagen,2361.4569866297575,2022-12-31
32,kale - organic,2645.54179462749,2022-12-31
33,keto protein blend,2278.154463783943,2022-12-31
34,kiwi apple juice blend,3122.7283394161423,2022-12-31
35,lean1 chocolate protein,2727.377647451652,2022-12-31
36,lean1 vanilla protein,2396.547478326822,2022-12-31
37,mangoes,3602.8427661217347,2022-12-31
38,matcha green tea,2191.4400237699288,2022-12-31
39,metabolism boost enhancer,2641.5272186587595,2022-12-31
40,multivitamin enhancer,2354.4632645942766,2022-12-31
41,muscle builder enhancer,2197.27596514853,2022-12-31
42,nonfat milk,4658.139083077669,2022-12-31
43,nutrient blend,2532.2150399270777,2022-12-31
44,oatmilk by califia farms,2385.1084589749003,2022-12-31
45,orange juice blend,2788.2706510923294,2022-12-31
46,papaya juice blend,5549.020880376137,2022-12-31
47,peanut butter,2895.8808182830644,2022-12-31
48,pear juice blend,2788.6220110428085,2022-12-31
49,pear passion fruit juice blend,2668.9926526415693,2022-12-31
50,pineapple,4369.939827636331,2022-12-31
51,probiotic powder enhancer,2150.460758743638,2022-12-31
52,protein blend,8579.475344931805,2022-12-31
53,pumpkin - organic,2284.026030792059,2022-12-31
54,pure recharge enhancer,2506.5861105430877,2022-12-31
55,raspberries,2789.037842490424,2022-12-31
56,spice blend,2353.1057536046987,2022-12-31
57,spinach - organic,2631.9276905011,2022-12-31
58,stevia plant-based sweetener,4250.001800173264,2022-12-31
59,strawberries - no sugar,5301.984449746146,2022-12-31
60,strawberries - added sugar,6829.52841545144,2022-12-31
61,sunwarrior organic plant-based protein,3194.928560873292,2022-12-31
62,super grains enhancer,2382.9819974291872,2022-12-31
63,tart cherries,3186.070486796757,2022-12-31
64,turbinado,9073.196076346074,2022-12-31
65,vanilla frozen yogurt,2449.986150722646,2022-12-31
66,whey protein,2491.179085114587,2022-12-31
67,white grape lemon juice blend,2783.3436958807756,2022-12-31
68,milk chocolate almonds,1017.2657142857147,2022-12-31
69,dark chocolate cashews,1006.2800000000003,2022-12-31
70,greek yogurt trail mix,1006.2828571428571,2022-12-31
